Date,BDI,VLSFO,BDI_lag_7d,BDI_lag_14d,BDI_lag_30d,BDI_avg_7d_final,BDI_avg_30d_final,BDI_volatility_7d_final,BDI_volatility_30d_final,BDI_relative_volatility_final,BDI_momentum_final,Fuel_momentum_final,BDI_change_7d_pct,BDI_change_14d_pct,BDI_change_30d_pct,BDI_vs_7d_avg_pct,BDI_vs_30d_avg_pct,Fuel_change_7d_pct,BDI_trend_strength,Fuel_lag_1,Fuel_avg_7d_final,Fuel_avg_30d_final,month,quarter,day_of_week,year
2023-04-17,1412,,1778.0,1176.0,1535.0,1914.0,1496.7142857142858,954.8944095204108,456.4155061845636,0.4988999004808834,-502.0,,-20.58492688413948,20.068027210884352,-8.013029315960912,-26.227795193312435,-5.660017180490603,,-0.25844983662756427,,,,4,2,0,2023
2023-04-18,1368,,1778.0,1473.0,1535.0,1804.8,1490.8636363636363,862.2590677980722,446.2604722478861,0.47775879199804533,-436.79999999999995,,-23.059617547806525,-7.128309572301425,-10.879478827361563,-24.202127659574465,-8.241104911735107,,-15.093963560053975,,,,4,2,1,2023
2023-04-19,1372,,3346.0,1545.0,1542.0,1410.0,1483.1363636363637,40.76150144438037,446.8043457450035,0.028908866272610193,-38.0,,-58.995815899581594,-11.197411003236246,-11.024643320363165,-2.6950354609929077,-7.493334150602231,,-35.09661345140892,,,,4,2,2,2023
2023-04-20,1432,,1463.0,1545.0,1512.0,1403.8,1479.5,32.12786952165075,446.8837869598944,0.022886358114867326,28.200000000000045,,-2.1189336978810664,-7.313915857605179,-5.291005291005291,2.0088331671178263,-3.2105441027374115,,-4.716424777743122,,,,4,2,3,2023
2023-04-21,1504,,1435.0,1044.0,1456.0,1417.6,1481.6818181818182,55.324497286466396,446.8807645769898,0.039026874496660834,86.40000000000009,,4.808362369337979,44.06130268199234,3.296703296703297,6.094808126410841,1.506273583458596,,24.434832525665158,,,,4,2,4,2023
2023-04-24,1517,,1412.0,1778.0,1489.0,1438.6,1482.904761904762,70.51099205088697,457.9796834753563,0.049013618831424285,78.40000000000009,,7.436260623229461,-14.679415073115862,1.880456682337139,5.44974280550536,2.2992196782376917,,-3.621577224943201,,,,4,2,0,2023
2023-04-25,1510,,1368.0,1778.0,1489.0,1467.0,1484.1363636363637,63.18227599572741,446.97973699193847,0.043069036125240226,43.0,,10.380116959064328,-15.073115860517436,1.4103425117528543,2.931152010906612,1.742672506201947,,-2.3464994507265544,,,,4,2,1,2023
2023-04-26,1536,,1372.0,3346.0,1456.0,1499.8,1487.7727272727273,39.76430560188752,447.0653443042966,0.02651307214421091,36.200000000000045,,11.9533527696793,-54.09444112372983,5.4945054945054945,2.4136551540205393,3.241575265039261,,-21.070544177025265,,,,4,2,2,2023
2023-04-27,1581,,1432.0,1463.0,1402.0,1529.6,1495.909090909091,31.149638842213367,447.05884443729286,0.020364565142660412,51.40000000000009,,10.405027932960893,8.065618591934381,12.76747503566334,3.360355648535571,5.688240656335455,,9.235323262447636,,,,4,2,3,2023
2023-04-28,1576,,1504.0,1435.0,1407.0,1544.0,1503.590909090909,32.94692701907632,446.91030943056336,0.02133868330251057,32.0,,4.787234042553192,9.825783972125436,12.011371712864252,2.072538860103627,4.815744127694313,,7.306509007339313,,,,4,2,4,2023
2023-05-01,1146,,1517.0,1412.0,1176.0,1469.8,1512.85,183.36357326361275,469.59649812645375,0.12475409801579314,-323.79999999999995,,-24.456163480553723,-18.8385269121813,-2.5510204081632653,-22.030208191590688,-24.248934130944903,,-21.64734519636751,,,,5,2,0,2023
2023-05-04,1525,,1581.0,1432.0,1473.0,1415.6666666666667,1515.45,234.92622955586253,469.5081945364096,0.16594741904110843,109.33333333333326,,-3.542061986084757,6.494413407821228,3.5302104548540396,7.723098657876141,0.6301758553564917,,1.4761757108682356,,,,5,2,3,2023
2023-05-05,1558,,1576.0,1504.0,1545.0,1409.6666666666667,1516.1,228.93740046862985,469.56025340625274,0.16240534438540777,148.33333333333326,,-1.1421319796954315,3.590425531914894,0.8414239482200648,10.522582170725935,2.7636699426159286,,1.2241467761097313,,,,5,2,4,2023
2023-05-06,939,,1576.0,1504.0,1545.0,1292.0,1488.6190476190477,300.5384057542954,474.6806796353151,0.23261486513490356,-353.0,,-40.41878172588832,-37.566489361702125,-39.22330097087379,-27.321981424148607,-36.9214036659096,,-38.992635543795224,,,,5,2,5,2023
2023-05-07,994,,1576.0,1504.0,1044.0,1232.4,1486.2380952380952,292.40947317075774,477.1413736788998,0.23726831643196827,-238.4000000000001,,-36.92893401015229,-33.909574468085104,-4.789272030651341,-19.344368711457324,-33.119733427317286,,-35.4192542391187,,,,5,2,6,2023
2023-05-09,1063,,1146.0,1510.0,1083.0,1215.8,1502.75,300.7768275648908,483.50081641469967,0.24739005392736538,-152.79999999999995,,-7.242582897033159,-29.602649006622517,-1.8467220683287167,-12.567856555354496,-29.26301780069872,,-18.422615951827837,,,,5,2,1,2023
2023-05-10,1827,,1146.0,1536.0,1778.0,1317.6666666666667,1505.2,366.92542384886167,485.0905070190479,0.2784660439025006,509.33333333333326,,59.424083769633505,18.9453125,2.7559055118110236,38.65418669365038,21.379218708477275,,39.184698134816756,,,,5,2,2,2023
2023-05-12,3143,,1558.0,1576.0,3346.0,1593.2,1495.05,938.7055981509859,445.0148992183438,0.5891950779255498,1549.8,,101.73299101412067,99.42893401015228,-6.066945606694561,97.27592267135324,110.227082706264,,100.58096251213647,,,,5,2,4,2023
2023-05-15,1522,,994.0,1146.0,1435.0,1888.75,1501.3157894736842,893.1824654944068,456.92657477634066,0.4728960770321148,-366.75,,53.118712273641854,32.809773123909245,6.062717770034843,-19.41760423560556,1.3777388255915897,,42.96424269877555,,,,5,2,0,2023
2023-05-16,1476,,1063.0,1146.0,1435.0,1992.0,1500.05,782.9819069855108,444.77569450347613,0.3930632063180275,-516.0,,38.852304797742235,28.79581151832461,2.857142857142857,-25.903614457831324,-1.603279890670308,,33.824058158033424,,,,5,2,1,2023
2023-05-17,1425,,1827.0,1146.0,1412.0,1891.5,1500.7,835.2734083320664,444.64972612986656,0.441593131552771,-466.5,,-22.003284072249592,24.345549738219894,0.9206798866855523,-24.662965900079303,-5.0443126540947585,,1.1711328329851511,,,,5,2,2,2023
2023-05-18,1402,,1827.0,1525.0,1368.0,1793.6,1502.4,755.7666968053039,444.18042801498564,0.4213685865328412,-391.5999999999999,,-23.26217843459223,-8.065573770491802,2.4853801169590644,-21.833184656556643,-6.682641107561241,,-15.663876102542016,,,,5,2,3,2023
2023-05-19,1384,,3143.0,1558.0,1372.0,1441.8,1503.0,56.58798459036929,444.00308201869746,0.03924815133192488,-57.799999999999955,,-55.96563792554884,-11.16816431322208,0.8746355685131195,-4.008877791649324,-7.917498336660013,,-33.56690111938546,,,,5,2,4,2023
2023-05-22,1365,,1522.0,994.0,1504.0,1410.4,1499.421052631579,42.85207112847459,457.0068460208646,0.030382920539190717,-45.40000000000009,,-10.315374507227332,37.32394366197183,-9.242021276595745,-3.218944980147482,-8.964863631577101,,13.50428457737225,,,,5,2,0,2023
2023-05-23,1348,,1476.0,1063.0,1504.0,1384.8,1491.85,30.244007670939105,446.104575301868,0.021839982431354064,-36.799999999999955,,-8.672086720867208,26.81091251175917,-10.372340425531915,-2.657423454650488,-9.642390320742697,,9.069412895445982,,,,5,2,1,2023
2023-05-24,1295,,1425.0,1827.0,1517.0,1358.8,1480.75,41.00853569684978,448.20282943750624,0.030179964451611557,-63.799999999999955,,-9.12280701754386,-29.118773946360154,-14.634146341463413,-4.695319399470117,-12.54431875738646,,-19.120790481952007,,,,5,2,2,2023
2023-05-25,1215,,1402.0,1827.0,1510.0,1321.4,1466.0,68.09038111216422,452.02736293514585,0.051528970116667336,-106.40000000000009,,-13.338088445078458,-33.497536945812804,-19.5364238410596,-8.05206599061602,-17.121418826739426,,-23.417812695445633,,,,5,2,3,2023
2023-05-26,1172,,1384.0,3143.0,1536.0,1279.0,1447.8,83.60322960268778,456.36764957536604,0.06536609038521328,-107.0,,-15.31791907514451,-62.71078587336939,-23.697916666666664,-8.36591086786552,-19.04959248514988,,-39.01435247425695,,,,5,2,4,2023
2023-05-30,1123,,1348.0,1476.0,1576.0,1201.25,1416.9473684210527,72.93090337207,472.01629841024425,0.060712510611504684,-78.25,,-16.69139465875371,-23.9159891598916,-28.743654822335024,-6.514047866805411,-20.745115518906477,,-20.30369190932265,,,,5,2,1,2023
2023-05-31,977,,1295.0,1425.0,1146.0,1121.75,1408.0526315789473,103.56117354813101,478.94716406395884,0.09232108183475017,-144.75,,-24.555984555984555,-31.438596491228072,-14.74694589877836,-12.90394472921774,-30.613389152618392,,-27.997290523606313,,,,5,2,2,2023
2023-06-01,1130,,1215.0,1402.0,1146.0,1100.5,1394.15,85.12931340025843,470.30083037629026,0.07735512348955786,29.5,,-6.995884773662551,-19.400855920114125,-1.3961605584642234,2.680599727396638,-18.94702865545315,,-13.198370346888339,,,,6,2,3,2023
2023-06-02,608,,1172.0,1384.0,1146.0,959.5,1356.7142857142858,244.7182052892658,489.4423503189226,0.25504763448594664,-351.5,,-48.122866894197955,-56.06936416184971,-46.94589877835951,-36.633663366336634,-55.185848162577656,,-52.09611552802383,,,,6,2,4,2023
2023-06-03,1258,,1172.0,1384.0,1525.0,1019.2,1344.0,250.4709564001373,488.31885075224835,0.24575250824189296,238.79999999999995,,7.337883959044368,-9.104046242774565,-17.508196721311474,23.43014128728414,-6.398809523809524,,-0.8830811418650986,,,,6,2,5,2023
2023-06-04,1560,,1172.0,1384.0,1558.0,1109.3333333333333,1344.095238095238,314.5356365607343,488.36286762630414,0.2835357300727773,450.66666666666674,,33.105802047781566,12.716763005780345,0.12836970474967907,40.625000000000014,16.06320413802877,,22.911282526780955,,,,6,2,6,2023
2023-06-06,1016,,1123.0,1348.0,994.0,1091.5,1365.45,316.6321209226879,491.06881016389747,0.2900889793153347,-75.5,,-9.528049866429207,-24.629080118694365,2.2132796780684103,-6.917086578103528,-25.592295580211655,,-17.078564992561788,,,,6,2,1,2023
2023-06-07,993,,977.0,1295.0,994.0,1094.1666666666667,1347.7142857142858,315.54043586625517,485.4861628159045,0.2883842521245287,-101.16666666666674,,1.6376663254861823,-23.32046332046332,-0.1006036217303823,-9.246001523229253,-26.319694721221122,,-10.841398497488568,,,,6,2,2,2023
2023-06-09,1081,,608.0,1172.0,1827.0,1181.6,1324.65,235.65716623943274,484.69505063004254,0.1994390371017542,-100.59999999999991,,77.79605263157895,-7.764505119453926,-40.831964969896006,-8.513879485443459,-18.393537915675847,,35.01577375606251,,,,6,2,4,2023
2023-06-10,1929,,1258.0,1172.0,1827.0,1315.8,1353.4285714285713,413.78098071322677,490.48461458322396,0.3144710295738158,613.2,,53.33863275039745,64.59044368600682,5.582922824302135,46.602827177382586,42.52691576947436,,58.96453821820214,,,,6,2,5,2023
